"book_name","editor","org_name","publisher","publish_date","period","edu_level","category"
"弹性力学引论(修订版)","武际可","北京大学","北京大学出版社",,"十五","本科",
"电子出版技术","谢新洲","北京大学","北京大学出版社",,"十五","本科",
"公共政策分析","陈庆云","北京大学","北京大学出版社",,"十五","本科",
"环境法学","汪劲","北京大学","北京大学出版社",,"十五","本科",
"立法学教程","周旺生","北京大学","北京大学出版社",,"十五","本科",
"日本现代文学选读（上、下卷）","于荣胜","北京大学","北京大学出版社",,"十五","本科",
"微分几何","陈维桓","北京大学","北京大学出版社",,"十五","本科",
"西方社会学理论（上、下卷）","杨善华","北京大学","北京大学出版社",,"十五","本科",
"现代出版学","师曾志","北京大学","北京大学出版社",,"十五","本科",
"信息经济学","赖茂生","北京大学","北京大学出版社",,"十五","本科",
"国际经济法(第2版)","余劲松、吴志攀","武汉大学","北京大学出版社、高等教育出版社",,"十五","本科",
"刑法学（第2版）","高铭暄","中国人民大学","北京大学出版社、高等教育出版社",,"十五","本科",
"土体原位测试与工程勘察","王清","吉林大学","地质出版社",,"十五","本科",
"钻井地球物理勘探","李舟波","吉林大学","地质出版社",,"十五","本科",
"C语言程序设计","徐建民","河北大学","电子工业出版社",,"十五","本科",
"单片机原理与应用教程","傅扬烈","连云港化工高等专科学校","电子工业出版社",,"十五","本科",
"电工电子技术(上、下册）","陈新龙","重庆大学","电子工业出版社",,"十五","本科",
"汇编语言程序设计","丁辉","连云港化工高等专科学校","电子工业出版社",,"十五","本科",
"计算机体系结构（第2版）","徐炜民、严允中","上海大学","电子工业出版社",,"十五","本科",
"计算机网络管理与维护技术","杨尚森","洛阳大学","电子工业出版社",,"十五","本科",
"实验电子技术","王振宇","天津大学","电子工业出版社",,"十五","本科",
"实用数字电子技术（第2版）","范志忠","上海第二工业大学","电子工业出版社",,"十五","本科",
"网页设计与制作","杨尚森","洛阳大学","电子工业出版社",,"十五","本科",
"微机原理与接口技术","李芷","南京师范大学","电子工业出版社",,"十五","本科",
"微机组装与维护教程","史秀璋","海淀走读大学","电子工业出版社",,"十五","本科",
"微型机原理与应用（第2版）","罗克露","电子科技大学","电子工业出版社",,"十五","本科",
"移动通信原理","吴伟陵","北京邮电大学","电子工业出版社",,"十五","本科",
"管理会计","余恕莲","对外经济贸易大学","对外经济贸易大学出版社",,"十五","本科",
"国际企业管理","马春光","对外经济贸易大学","对外经济贸易大学出版社",,"十五","本科",
"病理学(第3版）","郭慕依","复旦大学","复旦大学出版社",,"十五","本科",
"竞争法案例教程","倪振峰","上海大学","复旦大学出版社",,"十五","本科",
"药理学","李端","复旦大学","复旦大学出版社",,"十五","本科",
"医学心理学","季建林","复旦大学","复旦大学出版社",,"十五","本科",
"Java程序设计","许满武","南京大学","高等教育出版社",,"十五","本科",
"保险学(第2版)","魏华林","武汉大学","高等教育出版社",,"十五","本科",
"材料的性能","赵新兵","浙江大学","高等教育出版社",,"十五","本科",
"材料概论","徐晓虹","武汉理工大学","高等教育出版社",,"十五","本科",
"材料科学基础","余永宁","北京科技大学","高等教育出版社",,"十五","本科",
"财政学","王国清等","西南财经大学","高等教育出版社",,"十五","本科",
"财政学（第2版）","储敏伟、杨君昌","上海财经大学","高等教育出版社",,"十五","本科",
"操作系统教程--原理和实例分析（第2版）","孟静","中国人民大学","高等教育出版社",,"十五","本科",
"陈阅增普通生物学（第2版）","翟中和","北京大学","高等教育出版社",,"十五","本科",
"传质分离过程","刘家祺","天津大学","高等教育出版社",,"十五","本科",
"大气环境化学（第2版）","唐孝炎","北京大学","高等教育出版社",,"十五","本科",
"大学德语听力教程（修订版）","朱建华","同济大学","高等教育出版社",,"十五","本科",
"当代西方政治思潮","徐大同","天津师范大学","高等教育出版社",,"十五","本科",
"等离子体物理学","李定","中国科学技术大学","高等教育出版社",,"十五","本科",
"地方政府学","徐勇","华中师范大学","高等教育出版社",,"十五","本科",
"地理科学导论","白光润","上海师范大学","高等教育出版社",,"十五","本科",
"地质学基础（第4版）","宋春青","北京师范大学","高等教育出版社",,"十五","本科",
"电工电子技术","陈小虎","南京工程学院","高等教育出版社",,"十五","本科",
"电机与拖动基础","邱阿瑞","清华大学","高等教育出版社",,"十五","本科",
"电视节目制作技术","孟群","北京广播学院","高等教育出版社",,"十五","本科",
"电子技术基础  模拟部分、数字部分（第5版）","康华光","华中科技大学","高等教育出版社",,"十五","本科",
"电子技术基础（数字部分）","康华光","华中科技大学","高等教育出版社",,"十五","本科",
"电子设计指南","孙肖子等","西安电子科技大学","高等教育出版社",,"十五","本科",
"动物生物学（第3版）","陈小麟等","厦门大学","高等教育出版社",,"十五","本科",
"动物生物学实验指导（第2版）","黄诗笺","武汉大学","高等教育出版社",,"十五","本科",
"发动机原理与汽车性能","编写组","高等教育出版社","高等教育出版社",,"十五","本科",
"发展社会学","刘祖云","武汉大学","高等教育出版社",,"十五","本科",
"非营利组织管理学","李维安","南开大学","高等教育出版社",,"十五","本科",
"分子生物学实验指导（第2版）","刘进元","清华大学","高等教育出版社",,"十五","本科",
"复变函数与积分变换","陈洪","南京工程学院","高等教育出版社",,"十五","本科",
"高等学校英语应用能力考试国家级试题库（高职高专用）（第2版）","研制组","高等教育出版社","高等教育出版社",,"十五","本科",
"工厂供电技术","陈小虎","南京工学院","高等教育出版社",,"十五","本科",
"工程地质学","吴继敏","河海大学","高等教育出版社",,"十五","本科",
"工程力学实验","范钦珊","清华大学","高等教育出版社",,"十五","本科",
"工程项目管理","任宏","重庆大学","高等教育出版社",,"十五","本科",
"工科数学分析基础(第2版)(上、下册)","马知恩、王绵森","西安交通大学","高等教育出版社",,"十五","本科",
"工科数学基础(第2版)(下册)","董加礼、孙丽华","吉林大学","高等教育出版社",,"十五","本科",
"工业产品设计与表达","窦忠强","北京科技大学","高等教育出版社",,"十五","本科",
"公共事业管理学","娄成武、郑文范","东北大学","高等教育出版社",,"十五","本科",
"公共行政学","王乐夫","中山大学","高等教育出版社",,"十五","本科",
"构图学","林钰源","华南师范大学","高等教育出版社",,"十五","本科",
"古代中外文化交流史","王小甫","北京大学","高等教育出版社",,"十五","本科",
"管理学基础","王凯","南京农业大学","高等教育出版社",,"十五","本科",
"光电子技术","姚建铨","天津大学","高等教育出版社",,"十五","本科",
"光学","郭永康","四川大学","高等教育出版社",,"十五","本科",
"光学","赵建林","西北工业大学","高等教育出版社",,"十五","本科",
"广告策划","纪华强","厦门大学","高等教育出版社",,"十五","本科",
"广播电视广告原理","姚力","吉林大学","高等教育出版社",,"十五","本科",
"广告经营与管理","张金海","武汉大学","高等教育出版社",,"十五","本科",
"汉语史语料学","高小方","南京大学","高等教育出版社",,"十五","本科",
"汉语音韵学通论","李无未","吉林大学","高等教育出版社",,"十五","本科",
"护理中的人际沟通学","李小寒","中国医科大学","高等教育出版社",,"十五","本科",
"华夏人文概览","章必功","深圳大学","高等教育出版社",,"十五","本科",
"化学化工专业英语","赵元","承德石油高等专科学校","高等教育出版社",,"十五","本科",
"化学原理","姚天扬","南京大学","高等教育出版社",,"十五","本科",
"机械设计（第八版）","濮良贵、陈国定","西北工业大学","高等教育出版社",,"十五","本科",
"机械原理（第2版）","王知行","哈尔滨工业大学","高等教育出版社",,"十五","本科",
"机械原理（第2版）","邹慧君","上海交通大学","高等教育出版社",,"十五","本科",
"机械原理（第七版）","陈作模、葛文杰","西北工业大学","高等教育出版社",,"十五","本科",
"基础化学实验（上、中、下册）","徐家宁","吉林大学","高等教育出版社",,"十五","本科",
